sn,year,month,day,mag,depth,lat,lon,location
816,2021,12,30,2.2,14,41.3,129.17,북한 함경북도 길주 북북서쪽 41km 지역
815,2021,12,30,2.3,19,41.31,129.21,북한 함경북도 길주 북북서쪽 41km 지역
814,2021,12,17,3.2,18,33.12,126.18,제주 서귀포시 서남서쪽 38km 해역
813,2021,12,15,2.3,10,35.79,127.8,경남 거창군 북서쪽 15km 지역
812,2021,12,15,2.8,14,33.14,126.15,제주 서귀포시 서남서쪽 40km 해역
811,2021,12,14,4.9,17,33.09,126.16,제주 서귀포시 서남서쪽 41km 해역
810,2021,12,9,2.6,17,33.85,125.51,전남 신안군 흑산도 남쪽 91km 해역
809,2021,12,4,2.3,20,38.02,124.52,인천 옹진군 백령도 서북서쪽 16km 해역
808,2021,11,22,2.1,7,35.48,127.11,전북 순창군 북북서쪽 12km 지역
807,2021,11,19,2.2,11,33.85,124.77,전남 신안군 흑산도 남남서쪽 109km 해역
806,2021,11,17,2.9,19,35.66,129.75,울산 동구 동북동쪽 35km 해역
805,2021,11,16,2.1,8,34.5,125.9,전남 진도군 서쪽 33km 해역
804,2021,11,16,2.1,18,35.06,125.06,전남 신안군 흑산도 북서쪽 54km 해역
803,2021,11,12,2.1,8,36.15,129.38,경북 포항시 북구 북쪽 12km 지역
802,2021,10,22,2.4,14,36.9,128.22,충북 제천시 남쪽 26km 지역
801,2021,10,19,2.2,22,35.9,129.75,경북 포항시 남구 동남동쪽 37km 해역
800,2021,10,19,2.8,,40.41,127.27,북한 함경남도 장진 북동쪽 4km 지역
799,2021,10,19,2.6,,40.37,127.28,북한 함경남도 장진 동남동쪽 4km 지역
798,2021,10,17,2.4,33,41.26,129.45,북한 함경북도 길주 북북동쪽 36km 지역
797,2021,10,11,2.5,20,41.29,129.2,북한 함경북도 길주 북북서쪽 39km 지역
796,2021,10,11,2.4,25,41.3,129.18,북한 함경북도 길주 북북서쪽 40km 지역
795,2021,10,10,2.1,7,35.1,125.06,전남 신안군 흑산도 북서쪽 58km 해역
794,2021,10,6,2.5,13,35.25,127.86,경남 하동군 북북동쪽 23km 지역
793,2021,9,23,2.6,16,35.42,128.49,경남 창녕군 남쪽 14km 지역
792,2021,9,20,2.2,8,34.88,127.25,전남 보성군 북동쪽 20km 지역
791,2021,9,17,2.2,10,36.71,126.11,충남 태안군 서남서쪽 17km 해역
790,2021,9,14,2.2,16,35.41,128.78,경남 밀양시 남남동쪽 11km 지역
789,2021,9,12,2.1,13,35.53,128.53,경남 창녕군 동남동쪽 4km 지역
788,2021,9,11,2.1,8,41.29,129.15,북한 함경북도 길주 북북서쪽 40km 지역
787,2021,9,1,2.4,15,41.3,129.13,북한 함경북도 길주 북북서쪽 42km 지역
786,2021,8,29,2.6,15,36.98,125.02,충남 태안군 서격렬비도 북서쪽 62km 해역
785,2021,8,29,2.2,9,35.31,128.49,경남 함안군 동북동쪽 9km 지역
784,2021,8,28,2.2,15,35,127.73,전남 광양시 북북동쪽 7km 지역
783,2021,8,26,2.3,17,35.07,125.12,전남 신안군 흑산도 북북서쪽 52km 해역
782,2021,8,21,4,7,35.7,124.7,전북 군산시 어청도 서남서쪽 124km 해역
781,2021,8,20,2.1,5,38.37,127.99,북한 강원 회양 남동쪽 50km 지역
780,2021,8,18,2.1,,35.1,129.84,부산 기장군 동남동쪽 58km 해역
779,2021,8,15,2,18,35.1,129.78,부산 기장군 동남동쪽 53km 해역
778,2021,8,1,2.2,13,35.65,129.53,울산 북구 동북동쪽 17km 해역
777,2021,7,31,2.5,22,35.65,128.4,대구 달성군 남남서쪽 14km 지역
776,2021,7,26,2.2,14,36.32,128.21,경북 상주시 남남동쪽 11km 지역
775,2021,7,7,2.3,20,36.77,128.46,경북 예천군 북쪽 14km 지역
774,2021,6,14,2.4,20,35.81,129.77,경북 포항시 남구 동남동쪽 43km 해역
773,2021,6,13,2.5,15,41.29,129.13,북한 함경북도 길주 북북서쪽 41km 지역
772,2021,6,13,2,26,36.97,130.34,경북 울릉군 울릉도 남서쪽 76km 해역
771,2021,6,7,2.1,13,33.68,128.07,전남 여수시 거문도 동남동쪽 80km 해역
770,2021,5,30,2.4,9,38.73,126.06,북한 황해북도 연산 남서쪽 23km 지역
769,2021,5,26,2.2,,35.83,124.56,충남 태안군 서격렬비도 남서쪽 124km 해역
768,2021,5,13,2,10,35.89,127.33,전북 완주군 동쪽 15km 지역
767,2021,5,4,2,19,35.89,129.67,경북 포항시 남구 동남동쪽 31km 해역
766,2021,4,30,2.1,7,35.52,128.88,경남 밀양시 동쪽 12km 지역
765,2021,4,29,2,18,35.65,129.83,울산 동구 동북동쪽 41km 해역
764,2021,4,28,2.5,20,35.65,129.79,울산 동구 동북동쪽 37km 해역
763,2021,4,25,2.3,5,37.48,124.36,인천 옹진군 백령도 남남서쪽 60km 해역
762,2021,4,23,2.2,6,40.49,127.51,북한 함경남도 장진 동북동쪽 26km 지역
761,2021,4,20,2.6,15,35.08,125.05,전남 신안군 흑산도 북서쪽 57km 해역
760,2021,4,19,2.7,20,41.28,129.13,북한 함경북도 길주 북북서쪽 40km 지역
759,2021,4,19,3.7,15,35.07,125.08,전남 신안군 흑산도 북서쪽 54km 해역
758,2021,4,16,2.2,11,37.29,127.71,경기 여주시 동쪽 7km 지역
757,2021,4,13,2,13,36.02,126.91,전북 익산시 북북서쪽 9km 지역
756,2021,3,16,2.6,18,35.76,129.19,경북 경주시 남남서쪽 11km 지역
755,2021,2,21,2.2,18,35.47,126.34,전남 영광군 북서쪽 27km 해역
754,2021,2,15,2.5,14,35.99,126.84,전북 군산시 동북동쪽 10km 지역
753,2021,2,10,2.1,9,37.32,126.24,인천 옹진군 서남서쪽 38km 해역
752,2021,2,8,2.3,24,40.64,127.62,북한 함경남도 장진 북동쪽 43km 지역
751,2021,2,8,3.2,24,40.67,127.45,북한 함경남도 장진 북북동쪽 37km 지역
750,2021,2,6,2.7,5,35.81,127.53,전북 장수군 북쪽 18km 지역
749,2021,2,3,2.2,8,37.32,126.24,인천 옹진군 서남서쪽 38km 해역
748,2021,1,24,2.1,11,35.84,125.14,전북 군산시 어청도 서남서쪽 81km 해역
747,2021,1,14,2.1,,36.86,125.43,충남 태안군 서격렬비도 북북서쪽 30km 해역
746,2020,12,23,2.2,12,37.73,126.73,경기 파주시 남서쪽 6km 지역
745,2020,12,18,2.7,16,37.66,129.32,강원 동해시 북동쪽 24km 해역
744,2020,12,15,2.3,16,37.7,125.17,북한 황해남도 옹진 남남서쪽 31km 해역
743,2020,11,19,3.1,15,37.99,125.37,북한 황해남도 옹진 북쪽 7km 지역
742,2020,11,17,2.6,,41.28,129.18,북한 함경북도 길주 북북서쪽 38km 지역
741,2020,11,15,2.1,17,35.76,129.18,경북 경주시 남남서쪽 11km 지역
740,2020,11,8,2.9,9,36.41,128.22,경북 상주시 동쪽 5km 지역
739,2020,11,6,2,8,36.43,128.14,경북 상주시 북서쪽 3km 지역
738,2020,11,4,2.4,22,35.84,129.79,경북 포항시 남구 동남동쪽 43km 해역
737,2020,11,4,2.2,23,35.83,129.78,경북 포항시 남구 동남동쪽 43km 해역
736,2020,11,4,2.8,,38.79,125.72,북한 황해북도 송림 북동쪽 10km 지역
735,2020,10,25,2.5,17,33.89,125.65,전남 진도군 남서쪽 87km 해역
734,2020,10,24,2.1,21,33.93,127.45,전남 여수시 거문도 남동쪽 16km 해역
733,2020,10,9,2.1,15,35.75,129.17,경북 경주시 남남서쪽 13km 지역
732,2020,10,7,2.1,22,33.92,127.44,전남 여수시 거문도 남동쪽 16km 해역
731,2020,10,3,2.3,,38.83,126.03,북한 황해북도 연산 서남서쪽 20km 지역
730,2020,10,2,2.6,,38.74,125.9,북한 황해북도 송림 동쪽 23km 지역
729,2020,10,2,2.5,,38.74,125.89,북한 황해북도 송림 동쪽 22km 지역
728,2020,9,22,2.1,15,36.6,129.37,경북 영덕군 북쪽 21km 지역
727,2020,9,20,2.2,17,36.51,127.14,충남 공주시 북북동쪽 7km 지역
726,2020,9,13,2.9,15,37.64,124.6,인천 옹진군 백령도 남남서쪽 35km 해역
725,2020,9,12,2.4,15,36.03,128.4,경북 칠곡군 북쪽 4km 지역
724,2020,9,2,2.3,,34.38,126.2,전남 진도군 남남서쪽 13km 지역
723,2020,8,21,2.5,14,37.91,125.93,북한 황해남도 해주 남동쪽 24km 지역
722,2020,8,7,2.4,,41.3,129.09,북한 함경북도 길주 북북서쪽 43km 지역
721,2020,8,5,2,7,38.85,125.71,북한 황해북도 송림 북북동쪽 14km 지역
720,2020,8,1,2,19,36.77,128.48,경북 예천군 북쪽 13km 지역
719,2020,8,1,2,17,38.65,127.16,북한 강원 평강 북북서쪽 29km 지역
718,2020,7,25,2.2,7,34.06,125.54,전남 신안군 흑산도 남쪽 66km 해역
717,2020,7,20,2,11,34.53,128.14,경남 남해군 남남동쪽 41km 해역
716,2020,7,15,2.4,,34.88,124.68,전남 신안군 흑산도 서북서쪽 77km 해역
715,2020,7,11,2.7,,37.88,129.58,강원 동해시 북동쪽 57km 해역
714,2020,7,7,3.3,12,37.19,125.55,인천 옹진군 연평도 남남서쪽 54km 해역
713,2020,7,3,2.3,6,37.18,128.71,강원 영월군 동쪽 22km 지역
712,2020,6,24,2.5,,38.66,125.95,북한 황해북도 사리원 북동쪽 24km 지역
711,2020,6,23,2.1,6,37.86,126.9,경기 파주시 북동쪽 15km 지역
710,2020,6,21,2.3,9,38.47,128.52,강원 고성군 북북동쪽 11km 해역
709,2020,6,8,2.1,5,36.01,128.01,경북 김천시 남남서쪽 17km 지역
708,2020,6,4,2.5,6,38.75,125.69,북한 황해북도 송림 동북동쪽 5km 지역
707,2020,5,27,2.8,6,36.01,128.01,경북 김천시 남남서쪽 17km 지역
706,2020,5,22,2.1,11,37.67,125,북한 황해남도 옹진 남서쪽 43km 해역
705,2020,5,13,2.8,12,36.1,127.34,전북 완주군 북동쪽 27km 지역
704,2020,5,11,3.8,16,38.68,127.18,북한 강원 평강 북북서쪽 32km 지역
703,2020,5,9,2.2,8,38.87,126.22,북한 평안남도 성천 남쪽 41km 지역
702,2020,5,9,2.2,21,34.66,126.4,전남 해남군 서북서쪽 21km 지역
701,2020,5,7,2.1,17,34.77,124.68,전남 신안군 흑산도 서쪽 73km 해역
700,2020,5,5,2.4,,38.47,126.16,북한 황해북도 평산 북서쪽 26km 지역
699,2020,5,3,3.1,21,34.66,126.4,전남 해남군 서북서쪽 21km 지역
698,2020,5,2,2.3,21,34.66,126.4,전남 해남군 서북서쪽 21km 지역
697,2020,4,30,2.4,21,34.66,126.4,전남 해남군 서북서쪽 21km 지역
696,2020,4,29,2.4,,39.39,126.13,북한 평안남도 성천 북북서쪽 18km 지역
695,2020,4,28,2.1,22,34.66,126.41,전남 해남군 서북서쪽 20km 지역
694,2020,4,28,2.4,10,36.16,127.43,충남 금산군 북서쪽 8km 지역
693,2020,4,27,2.8,6,35.8,127.53,전북 장수군 북쪽 17km 지역
692,2020,4,24,2.3,15,35.3,125.54,전남 신안군 흑산도 북쪽 73km 해역
691,2020,4,22,2.1,9,38.11,130.01,강원 동해시 북동쪽 102km 해역
690,2020,4,18,2.3,14,37.58,126.14,인천 강화군 서남서쪽 36km 해역
689,2020,4,3,2.2,,38.75,125.72,북한 황해북도 송림 동북동쪽 8km 지역
688,2020,3,20,2.7,9,35.39,128.01,경남 산청군 동남동쪽 13km 지역
687,2020,3,10,2,12,35.44,125.54,전북 군산시 어청도 남남서쪽 85km 해역
686,2020,2,29,2.4,8,38.45,126.17,북한 황해북도 평산 북서쪽 24km 지역
685,2020,2,29,2.7,8,38.46,126.17,북한 황해북도 평산 북서쪽 24km 지역
684,2020,2,16,2.7,19,36.26,130.49,경북 영덕군 동쪽 102km 해역
683,2020,2,9,2.4,9,35.77,129.03,경북 경주시 서남서쪽 18km 지역
682,2020,1,30,3.2,21,36.59,128.12,경북 상주시 북쪽 20km 지역
681,2020,1,29,2.5,,41.29,129.11,북한 함경북도 길주 북북서쪽 41km 지역
680,2020,1,15,2.1,8,37.11,128.29,충북 제천시 동남동쪽 9km 지역
679,2020,1,8,2,17,35.91,128.38,경북 성주군 동쪽 9km 지역
678,2019,12,30,2.1,19,35.56,128.9,경남 밀양시 동북동쪽 15km 지역
677,2019,12,30,3.5,20,35.56,128.9,경남 밀양시 동북동쪽 15km 지역
676,2019,12,29,2.3,17,33.33,127.16,제주 서귀포시 동쪽 56km 해역
675,2019,12,24,2.4,18,33.29,127.16,제주 서귀포시 동쪽 56km 해역
674,2019,12,17,2.1,11,38.01,126,북한 황해남도 해주 동쪽 25km 지역
673,2019,12,15,2,11,37.16,126.22,충남 서산시 북북서쪽 46km 해역
672,2019,12,12,2.1,21,33.55,126.92,제주 제주시 동쪽 36km 해역
671,2019,12,8,2,,35.12,124.96,전남 신안군 흑산도 북서쪽 70km 해역
670,2019,12,4,2.6,9,33.94,124.7,전남 신안군 흑산도 남서쪽 106km 해역
669,2019,11,29,2,21,36.86,129.79,경북 울진군 동남동쪽 38km 해역
668,2019,11,21,2.4,12,33.83,128.09,전남 여수시 거문도 동남동쪽 75km 해역
667,2019,11,21,2.3,6,35.13,124.93,전남 신안군 흑산도 북서쪽 73km 해역
666,2019,11,9,2.4,9,37.62,124.65,인천 옹진군 백령도 남쪽 37km 해역
665,2019,10,31,2.1,,37.24,126.11,인천 옹진군 서남서쪽 52km 지역
664,2019,10,30,2.3,5,36.68,128.61,경북 안동시 북서쪽 16km 지역
663,2019,10,27,3.4,11,35.41,128.49,경남 창녕군 남쪽 15km 지역
662,2019,10,20,2.2,10,33.41,125.13,제주 제주시 서쪽 130km 해역
661,2019,10,15,2.3,,38.77,125.71,북한 황해북도 송림 동북동쪽 8km 지역
660,2019,10,13,2,20,36.53,129.65,경북 영덕군 동북동쪽 28km 해역
659,2019,10,12,2.5,17,35.18,129.77,울산 동구 남동쪽 48km 해역
658,2019,10,4,2.6,9,35.47,128.86,경남 밀양시 동남동쪽 11km 지역
657,2019,10,2,2.3,11,38.79,125.78,북한 황해북도 송림 동북동쪽 14km 지역
656,2019,9,26,2.3,8,36.09,129.33,경북 포항시 북구 북북서쪽 6km 지역
655,2019,9,22,3.3,17,34.16,125.16,전남 신안군 흑산도 남남서쪽 62km 해역
